Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,ProcPwr,disk_read_kbytes,disk_write_kbytes
1260,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,74.3902439,72.56097561,9.203250949,0.912859224,1.623467206,1.184741554,0.374374851,0.043641059,0.42507973,0.890416846,0,0
1265,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,72.56097561,72.56097561,46.09203642,2.880998079,5.515429108,4.824708341,1.584037174,0.221495793,0.7320189,0.889987108,0,8.430232558
1270,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,74.3902439,72.56097561,48.00013636,2.751428899,5.36519785,5.451241119,1.967399179,0.259775634,0.367843525,0.888268156,0,2.906976744
1275,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,72.56097561,74.3902439,49.48701156,2.46170404,4.368982868,5.937867019,2.455165375,0.222709049,0.266872748,0.887838419,0,0
1280,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,74.3902439,72.56097561,47.86533694,2.610923673,4.774575166,5.243867099,1.747305607,0.256302495,0.324815556,0.887838419,0,0
1285,91.30434783,86.2745098,89.18918919,89.58333333,97.84946237,97.84946237,74.3902439,74.3902439,48.23576951,2.587776643,4.706743579,5.211053599,1.680997024,0.251139336,0.317974526,0.888268156,0,0
1290,91.30434783,86.2745098,91.89189189,89.58333333,97.84946237,97.84946237,72.56097561,72.56097561,48.1846333,2.822556132,4.976348802,5.597511231,1.855626169,0.251766126,0.639580541,0.888697894,0,1.162790698
1295,89.13043478,86.2745098,91.89189189,89.58333333,95.69892473,97.84946237,74.3902439,72.56097561,48.18260037,3.045669821,5.797180956,5.202260255,1.80007412,0.240367089,0.722321991,0.888697894,0,12.06395349
1300,89.13043478,86.2745098,89.18918919,89.58333333,97.84946237,97.84946237,74.3902439,74.3902439,47.95982164,2.730352225,4.933807635,6.222639321,3.369459967,0.207781133,0.288667433,0.888697894,0,0
1305,91.30434783,86.2745098,89.18918919,89.58333333,97.84946237,97.84946237,74.3902439,74.3902439,43.6524483,1.673755095,2.888052396,3.870616479,1.980550849,0.129483991,0.142431713,0.888697894,0,0
1310,91.30434783,86.2745098,89.18918919,89.58333333,95.69892473,97.84946237,74.3902439,72.56097561,11.28737205,1.419309752,2.53799763,3.130093309,1.793859713,0.112250532,0.136826339,0.889127632,0,0
1315,89.13043478,86.2745098,89.18918919,87.5,95.69892473,97.84946237,72.56097561,72.56097561,48.40512888,2.441748122,4.075164117,6.284810791,3.345692019,0.197974866,0.215467627,0.88955737,0,0
1320,89.13043478,86.2745098,89.18918919,89.58333333,95.69892473,97.84946237,72.56097561,74.3902439,48.04883305,2.8805174,4.702843851,6.298646963,3.353093205,0.212938955,0.564853239,0.887838419,0,1.744186047
1325,91.30434783,86.2745098,89.18918919,87.5,97.84946237,97.84946237,72.56097561,72.56097561,48.6894118,3.098466916,5.495703052,6.269246853,3.5842454,0.22290355,0.577439813,0.887408681,0,15.69767442
1330,91.30434783,86.2745098,89.18918919,89.58333333,97.84946237,97.84946237,72.56097561,74.3902439,47.65660112,2.877658913,5.033453696,6.334831714,3.614702466,0.236223279,0.219863943,0.887408681,0,0
1335,91.30434783,84.31372549,89.18918919,87.5,97.84946237,100,74.3902439,72.56097561,47.70110683,2.529926085,4.280008593,5.617148762,3.453969425,0.209507918,0.222839147,0.891276321,0,0
1340,91.30434783,84.31372549,89.18918919,87.5,97.84946237,97.84946237,74.3902439,74.3902439,47.77876506,2.735001355,5.000963838,5.242982146,2.272261143,0.273558488,0.30938029,0.896433176,0,0
1345,91.30434783,86.2745098,89.18918919,87.5,97.84946237,97.84946237,74.3902439,72.56097561,48.45685934,2.470541743,4.197835414,6.683166126,3.448369986,0.207201189,0.184757393,0.894284486,0,0
