time    cpu HT0     HT1       HT2       L2miss   
    1160   2       0  19651259         0   243904
    1165   1  473198         0  10226730   352153
    1170   0 1507635         0  22124789   554492
    1175   0 1520612         0  20178405   560558
    1180   2       0  19889977         0   398566
    1180   0 1505148         0  17852324   532405
    1185   3       0  21969190         0   295410
    1190   2       0  25172566         0   547732
    1195   1 1510345         0  19511974   509347
    1200   0 1514324         0  23095764   483909
    1200   3       0  34324778         0   294492
    1205   0 1507753         0  21071070   419050
    1210   0  846564         0   8877162   266053
    1215   1 1058809         0  14553445   375270
    1220   1 1518190         0  20414940   728706
    1220   0 1518204         0  20422565   537266
    1225   0 1523722         0  19471177   544257
    1230   0 1510397         0  23441386   503630
    1235   1 1512862         0  21701723   571616
    1235   3       0  26102416         0   482384
    1240   0 1521589         0  18562674   499671
    1245   0 2222245         0  18463312   573403
    1250   2       0  27681274         0   460454
    1250   1 1524151         0  21822406   640091
    1255   0 1399493         0  13193181   271359
    1255   2       0  15418170         0   258767
    1260   2       0  24915482         0   212821
    1265   0 1519520         0  20827172   507681
    1270   1 1513291         0  17730557   466522
    1270   0 1513291         0  17730239   530583
    1275   1 1675342         0  20072069   501386
    1280   1 1525858         0  19065075   693417
    1285   2       0  22873863         0   439532
    1290   0 1497785         0  23545311   415358
    1295   2       0  26989550         0   424441
    1300   1 1520474         0  17586089   440166
    1305   3       0  14863499         0   203515
    1305   2       0  14915930         0   268838
    1310   3       0  17351238         0   139126
    1315   3       0  22935080         0   301179
    1320   3       0  34188923         0   292711
    1325   1 1506242         0  20449917   686663
    1330   3       0  19078003         0   350573
    1335   2       0  23451341         0   420282
    1335   0 1907324         0  20078342   530898
    1340   2       0  25566840         0   373413
    1340   3       0  25571848         0   301071
    1345   1 1529744         0  19936913   599575
    1350   3       0  34194483         0   289090
    1355   1  673169         0   5890053   437372
    1355   2       0  10745238         0    49529
    1355   0  673593         0   5914148   120629
    1360   2       0  17731004         0   335657
    1365   0 1687630         0  20392428   516640
    1370   3       0  26275402         0   287909
    1375   0 1516918         0  20225860   492823
    1380   3       0  34059736         0   262628
    1385   1 1499574         0  22268601   605059
    1390   1 1512384         0  18395640   403290
    1395   1 1912643         0  22016685   278655
    1400   2       0  26145385         0   427912
    1400   3       0  26158982         0   197805
    1405   1  229682         0   5823346   334733
    1405   2       0   8515787         0    67950
    1405   0  260636         0   5859756    76707
    1410   0 1463376         0  21395984   478174
    1415   1 1508850         0  20289587   710057
    1420   0 1523051         0  17525621   539538
    1425   0 1684781         0  20379145   445850
    1430   2       0  24609007         0   404178
    1435   0 1496569         0  20532017   436195
    1435   1 1496587         0  20542241   432356
    1440   2       0  34191864         0   339848
    1445   3       0  25040845         0   517561
    1445   1 1507163         0  21457296   485570
    1450   3       0  11435202         0   219347
    1450   2       0  11434490         0   251538
    1450   0 1327180         0  11011778   294158
    1455   2       0  14466892         0   232640
    1460   1 1528379         0  19807907   593145
    1460   2       0  24569659         0   416521
    1465   0 1507076         0  20184119   490328
    1470   2       0  33422626         0   342961
    1475   2       0  25316244         0   357603
    1480   0 1519907         0  17714675   526370
    1485   2       0  23304056         0   538059
    1490   1 1528482         0  20196058   635666
    1495   2       0  23204511         0   497933
    1500   2       0  18638617         0    68902
    1500   0  646431         0   8965450    74470
    1505   1 1100625         0  18515329   682128
    1510   0 1512028         0  17299201   524125
    1515   1 1931402         0  20257603   591376
    1520   2       0  23864312         0   387307
    1525   0 1526397         0  20013729   504292
    1525   2       0  24991797         0   411093
    1530   1 1521176         0  22897660  1085926
    1530   0 1521176         0  22898878   510140
    1535   3       0  26351551         0   323622
    1540   2       0  18699192         0   352498
    1545   0 1726466         0  21432882   509026
    1550   1  218704         0   3914129   335853
    1550   0  218706         0   3911819    78241
    1550   2       0   7420856         0    14190
    1555   1 1530340         0  18693891   624720
    1560   2       0  34404033         0   399916
    1565   1 1521657         0  20045914   643525
    1565   0 1521657         0  20049547   504472
    1570   1 1511193         0  18439238   246793
    1575   0 1702189         0  20641144   498731
    1580   0 1512660         0  20878954   394273
    1585   0 1499977         0  22070504   385902
    1585   1 1499977         0  22066074   471288
    1590   0 1496361         0  23611457   489686
    1590   1 1496361         0  23611694   908567
    1595   1 1272991         0  13489912   507584
    1595   0 1273157         0  13500793   327453
    1595   2       0  18179393         0   209243
    1600   1  456163         0   9375063   241657
    1605   1 2046845         0  20917714   618305
    1610   1 1508676         0  20255795   596060
    1615   0 1515070         0  20576853   479919
    1620   0 1533207         0  21053512   545484
    1625   1 1520880         0  19190968   690111
    1630   1 1532284         0  17590154   424418
    1635   2       0  22755083         0   534335
    1640   1 1513019         0  19639649   586989
    1645   0  846445         0  10909547   246876
    1645   3       0  15315918         0   158163
