Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,$1$2missC0,$1$2missC1,$1$2missC2,$1$2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,$miss_core0_scaled,$miss_core1_scaled,$miss_core2_scaled,$miss_core3_scaled
255,41,43,32,41,3567.2,3567.2,8662,8449,1545169,1545169,1545169,16948073,16947238,16947655.5,22555823,22544639,22550231,524348,376391,330461,545247,205.9,114.9,1.681,154.425,123.54,61.77,1.545169,16.9476555,22.550231,5.24348,3.76391,3.30461,5.45247
260,41,43,32,41,3567.2,3567.2,8449,8449,1539829,1539829,1539829,14501688,14500422,14501055,17063407,17065465,17064436,444888,155484,374024,431089,205.9,114.9,1.652,154.425,123.54,61.77,1.539829,14.501055,17.064436,4.44888,1.55484,3.74024,4.31089
265,41,43,32,41,3488.8,3567.2,8662,8449,1522750,1522750,1522750,17419537,17420395,17419966,24567527,24575749,24571638,437749,262384,364550,669582,205.9,114.9,1.655,154.425,123.54,61.77,1.52275,17.419966,24.571638,4.37749,2.62384,3.6455,6.69582
270,42,43,32,41,3567.2,3567.2,8449,8449,1541169,1541169,1541169,14224251,14224502,14224376.5,16564582,16554172,16559377,513398,378945,312247,282424,214.4,114.8,1.79,160.8,128.64,64.32,1.541169,14.2243765,16.559377,5.13398,3.78945,3.12247,2.82424
275,41,45,32,41,3567.2,3567.2,8662,8449,1524877,1524877,1524877,14865281,14862436,14863858.5,18052389,18052946,18052667.5,360725,186653,457282,384427,222.3,114.8,1.783,166.725,133.38,66.69,1.524877,14.8638585,18.0526675,3.60725,1.86653,4.57282,3.84427
280,41,45,32,41,3567.2,3567.2,8662,8449,1535038,1535038,1535038,14222641,14222618,14222629.5,16256140,16262944,16259542,432503,218278,505829,296538,222.6,114.9,1.79,166.95,133.56,66.78,1.535038,14.2226295,16.259542,4.32503,2.18278,5.05829,2.96538
285,41,45,32,41,3567.2,3567.2,8662,8449,1315079,1315068,1315073.5,11784973,11766821,11775897,17278138,17274891,17276514.5,340856,211800,600950,99320,222.8,114.8,1.784,167.1,133.68,66.84,1.3150735,11.775897,17.2765145,3.40856,2.118,6.0095,0.9932
290,41,45,32,42,3567.2,3567.2,8449,8449,465512,465523,465517.5,8272340,8290173,8281256.5,9291704,9290090,9290897,280719,150891,242366,106050,223,114.9,1.789,167.25,133.8,66.9,0.4655175,8.2812565,9.290897,2.80719,1.50891,2.42366,1.0605
295,41,45,32,42,3488.8,3567.2,8662,8449,1534866,1534812,1534839,16503123,16507457,16505290,22496039,22486782,22491410.5,487600,447398,284375,522600,223,114.8,1.789,167.25,133.8,66.9,1.534839,16.50529,22.4914105,4.876,4.47398,2.84375,5.226
300,41,46,32,42,3567.2,3567.2,8449,8662,3724426,3724480,3724453,63573097,63566547,63569822,72728487,72735340,72731913.5,11008468,3686071,2138834,17997099,222.6,114.8,1.86,166.95,133.56,66.78,3.724453,63.569822,72.7319135,110.08468,36.86071,21.38834,179.97099
305,41,45,32,42,3567.2,3567.2,8662,8449,1548796,1548796,1548796,46373182,46361595,46367388.5,37806265,37809178,37807721.5,1742623,2289448,57064385,387962,222.8,114.7,1.788,167.1,133.68,66.84,1.548796,46.3673885,37.8077215,17.42623,22.89448,570.64385,3.87962
310,41,46,32,42,3567.2,3567.2,8875,8449,1522425,1522425,1522425,45714906,45728637,45721771.5,38253380,38255074,38254227,637327,3912450,57253657,545932,222.9,114.8,1.792,167.175,133.74,66.87,1.522425,45.7217715,38.254227,6.37327,39.1245,572.53657,5.45932
315,41,46,32,42,3567.2,3567.2,8662,8662,1526874,1526874,1526874,48871255,48858004,48864629.5,45163787,45162113,45162950,1586567,1383563,32286220,26406854,223,114.8,1.786,167.25,133.8,66.9,1.526874,48.8646295,45.16295,15.86567,13.83563,322.8622,264.06854
320,41,46,32,42,3567.2,3567.2,8662,8449,1542403,1542403,1542403,43386150,43394896,43390523,35821758,35822201,35821979.5,1756458,494225,49830422,10373880,223,114.8,1.789,167.25,133.8,66.9,1.542403,43.390523,35.8219795,17.56458,4.94225,498.30422,103.7388
325,41,47,32,43,3488.8,3645.6,8662,8662,1539268,1539268,1539268,55737307,55740316,55738811.5,49882911,49875054,49878982.5,1944308,1353169,50467482,7778291,223.1,114.8,1.789,167.325,133.86,66.93,1.539268,55.7388115,49.8789825,19.44308,13.53169,504.67482,77.78291
330,41,46,32,43,3567.2,3567.2,8662,8449,1539068,1539068,1539068,40088459,40093757,40091108,34568993,34574997,34571995,1864870,755037,10640051,49268720,223.2,114.8,1.791,167.4,133.92,66.96,1.539068,40.091108,34.571995,18.6487,7.55037,106.40051,492.6872
335,41,47,32,43,3488.8,3567.2,8662,8449,926964,927024,926994,37133727,37032930,37083328.5,30577425,30589543,30583484,1039298,585621,6788330,52203948,223.4,114.7,1.79,167.55,134.04,67.02,0.926994,37.0833285,30.583484,10.39298,5.85621,67.8833,522.03948
340,41,47,32,43,3567.2,3645.6,8662,8449,851957,851897,851927,35274101,35373809,35323955,28698594,28680947,28689770.5,1863069,215614,360954,59621105,223.5,114.7,1.791,167.625,134.1,67.05,0.851927,35.323955,28.6897705,18.63069,2.15614,3.60954,596.21105
345,41,46,32,43,3567.2,3567.2,8449,8449,1535380,1535380,1535380,46791860,46781555,46786707.5,43966700,43973323,43970011.5,1482886,1130463,58004565,648904,223.4,114.7,1.789,167.55,134.04,67.02,1.53538,46.7867075,43.9700115,14.82886,11.30463,580.04565,6.48904
350,41,47,32,43,3567.2,3567.2,8662,8449,1546272,1546272,1546272,42427920,42438297,42433108.5,35629499,35629548,35629523.5,529621,743041,49549392,12053223,223,114.8,1.844,167.25,133.8,66.9,1.546272,42.4331085,35.6295235,5.29621,7.43041,495.49392,120.53223
355,41,47,32,43,3567.2,3567.2,8449,8449,1514606,1514606,1514606,48180396,48179318,48179857,45320509,45315833,45318171,948714,3509360,42217903,14439618,223.1,114.8,1.789,167.325,133.86,66.93,1.514606,48.179857,45.318171,9.48714,35.0936,422.17903,144.39618
