 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6675988 7721668 136 1827 0 0 0 0  0  0  0  0  0  528 1508  272 25  3 72
 0 0 0 6676248 7721784 136 1826 0 0 0 0  0  0  0  0  0  530 1496  276 25  3 72
 0 0 0 6675992 7721664 136 1822 0 0 0 0  0  0  0  0  0  530 1508  277 25  3 72
 0 0 0 6676248 7721772 137 1825 0 1 1 0  0  1  0  0  0  544 1494  270 25  3 72
 0 0 0 6675996 7721664 136 1826 0 0 0 0  0  0  0  0  0  533 1506  281 25  3 72
 0 0 0 6675964 7721636 136 1826 0 0 0 0  0  0  0  0  0  530 1495  273 25  3 72
 0 0 0 6676248 7721772 16 93 0  0  0  0  0  0  0  0  0  428  649  184 25  1 74
 0 0 0 6676248 7721772 121 1733 0 0 0 0  0  0  0  0  0  505 1388  277 25  2 73
 0 0 0 6675964 7721636 136 1824 0 0 0 0  0  0  0  0  0  500 1510  274 25  3 72
 0 0 0 6676248 7721768 136 1824 0 1 1 0  0  1  0  0  0  557 1493  276 25  3 72
 0 0 0 6675992 7721660 136 1826 0 0 0 0  0  0  0  0  0  533 1506  271 25  3 72
 0 0 0 6676248 7721760 136 1825 0 0 0 0  0  0  0  0  0  537 1492  280 25  3 72
 0 0 0 6675972 7721640 136 1827 0 0 0 0  0  0  0  0  0  504 1507  270 25  3 72
 0 0 0 6675940 7721612 136 1824 0 0 0 0  0  0  0  0  0  531 1493  286 25  3 72
 0 0 0 6676224 7721732 136 1825 0 1 1 0  0  0  0  0  0  526 1508  266 25  3 72
 0 0 0 6675940 7721604 136 1824 0 1 1 0  0  1  0  0  0  555 1491  272 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6676224 7721732 16 93 0  0  0  0  0  1  0  0  0  451  630  185 25  1 74
 0 0 0 6676224 7721732 121 1732 0 0 0 0  0  0  0  0  0  501 1407  278 25  3 72
 0 0 0 6675968 7721624 136 1824 0 0 0 0  0  0  0  0  0  511 1506  269 25  3 72
 0 0 0 6676124 7721728 137 1829 0 0 0 0  0  0  0  0  0  531 1495  288 25  3 72
 0 0 0 6676224 7721732 136 1823 0 0 0 0  0  0  0  0  0  525 1569  312 25  3 72
 0 0 0 6675940 7721588 136 1824 0 1 1 0  0  1  0  0  0  531 1491  273 25  3 72
 0 0 0 6676224 7721720 136 1825 0 0 0 0  0  0  0  0  0  544 1512  288 25  3 72
 0 0 0 6675940 7721584 136 1826 0 0 0 0  0  0  0  0  0  523 1495  274 25  3 72
 0 0 0 6676200 7721708 136 1825 0 0 0 0  0  0  0  0  0  528 1506  281 25  3 72
 0 0 0 6708496 7736776 138 1875 0 0 0 0  0  0  0  0  0  493 1499  282  2  3 95
 0 0 0 6707568 7735732 26 483 2 1  1  0  0  0  0  0  0  441 1864  201  1  0 99
 0 0 0 6741036 7768536 136 1991 0 16 16 0 0 3  0  0  0  560 1647  296  2  4 95
 0 0 0 6749212 7776500 137 1826 0 0 0 0  0  0  0  0  0  502 1503  287  0  3 97
 0 0 0 6748928 7776364 137 1824 0 0 0 0  0  0  0  0  0  515 1490  296  0  3 97
 0 0 0 6749212 7776492 137 1824 0 0 0 0  0  0  0  0  0  501 1503  285  0  3 97
 0 0 0 6749164 7776488 137 1823 0 0 0 0  0  0  0  0  0  502 1490  302  0  3 97
 0 0 0 6749212 7776492 137 1827 0 0 0 0  0  0  0  0  0  509 1506  275  0  3 97
 0 0 0 6748956 7776384 137 1825 0 1 1 0  0  3  0  0  0  553 1490  293  0  3 97
 0 0 0 6749148 7776468 137 1825 0 0 0 0  0  0  0  0  0  506 1505  287  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6749184 7776468 129 1696 0 0 0 0  0  0  0  0  0  502 1430  285  0  3 97
 0 0 0 6749184 7776468 8 129 0  0  0  0  0  0  0  0  0  410  602  210  0  0 100
 0 0 0 6748900 7776320 137 1826 0 0 0 0  0  0  0  0  0  490 1493  281  0  3 97
 0 0 0 6749184 7776452 137 1822 0 0 0 0  0  0  0  0  0  521 1502  285  0  3 97
 0 0 0 6748912 7776352 137 1826 0 1 1 0  0  1  0  0  0  515 1499  295  0  3 97
 0 0 0 6749184 7776444 137 1827 0 0 0 0  0  0  0  0  0  508 1504  292  0  3 97
 0 0 0 6748928 7776336 137 1823 0 0 0 0  0  0  0  0  0  514 1488  291  0  3 97
 0 0 0 6749140 7776448 137 1824 0 0 0 0  0  0  0  0  0  501 1506  286  0  3 97
 0 0 0 6749184 7776440 137 1826 0 0 0 0  0  0  0  0  0  508 1492  292  0  3 97
 0 0 0 6748900 7776304 137 1823 0 0 0 0  0  0  0  0  0  514 1576  323  0  3 97
 0 0 0 6749184 7776440 91 1091 0 1 1  0  0  1  0  0  0  476 1177  238  0  3 97
 0 0 0 6749184 7776440 46 733 0 0  0  0  0  0  0  0  0  443  867  230  0  0 100
 0 0 0 6749144 7776436 137 1826 0 0 0 0  0  0  0  0  0  501 1495  288  0  3 97
