Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
2120 30 33 26 18 21 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
2128 30 35 26 18 20 3150 7575 5250 7500 5325 7575 5325 7950 5250 54h
2136 30 33 26 17 20 3225 7575 5250 7500 5400 7575 5250 7875 5250 54h
2144 28 34 26 17 20 3150 7575 5175 7500 5400 7575 5325 7950 5250 54h
2152 32 32 26 17 20 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
2160 28 31 26 17 20 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
2168 27 31 26 17 20 3150 7575 5250 7500 5325 7575 5250 7950 5325 54h
2176 26 31 26 17 20 3150 7575 5250 7500 5400 7500 5250 7875 5250 54h
2184 26 30 26 17 20 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
2192 26 30 25 17 20 3150 7500 5250 7500 5325 7575 5250 7875 5250 54h
2200 26 30 25 17 20 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
2208 26 30 25 17 19 3150 7575 5250 7500 5325 7575 5325 7875 5250 54h
2216 26 29 25 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
2224 26 29 25 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
2232 26 29 25 17 19 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
2240 25 29 25 17 19 3150 7575 5250 7500 5400 7575 5325 7950 5325 54h
2248 25 29 25 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
2256 27 31 25 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
2264 28 31 25 17 19 3150 7575 5250 7500 5400 7575 5325 7875 5325 54h
2272 27 32 25 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5325 54h
2280 26 34 25 17 19 3150 7575 5250 7500 5325 7575 5325 7875 5250 54h
2288 26 32 24 17 19 3150 7575 5250 7500 5325 7575 5325 7875 5250 54h
2296 25 30 24 17 19 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
2304 26 29 24 17 19 3150 7575 5250 7425 5325 7575 5325 7950 5250 54h
2312 25 30 24 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
2320 26 30 24 17 19 3150 7575 5250 7500 5325 7575 5250 7875 5175 54h
2328 25 29 24 17 19 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
2336 25 29 24 17 19 3150 7500 5250 7425 5400 7500 5250 7875 5250 54h
2344 25 29 24 17 19 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
2352 25 29 24 17 19 3150 7575 5250 7425 5400 7575 5325 7950 5175 54h
2360 25 29 24 17 19 3150 7575 5250 7425 5400 7575 5325 7950 5250 54h
2368 25 29 24 17 19 3150 7500 5250 7425 5325 7500 5250 7950 5250 54h
2376 25 29 24 17 19 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
2384 28 30 24 17 19 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
2392 27 32 24 17 19 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
2400 26 32 24 17 19 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
2408 29 30 24 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
2416 29 31 24 17 19 3150 7575 5250 7425 5325 7500 5250 7950 5250 54h
2424 26 30 24 17 19 3150 7500 5250 7425 5400 7500 5250 7875 5250 54h
2432 26 30 24 17 19 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
2440 26 29 24 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
2448 25 29 24 17 19 3150 7500 5250 7500 5400 7500 5250 7950 5250 54h
2456 25 29 24 17 19 3150 7500 5250 7425 5325 7500 5250 7950 5250 54h
2464 25 29 24 17 19 3150 7500 5175 7425 5400 7575 5250 7875 5250 54h
2472 25 29 24 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
2480 25 29 24 17 19 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
2488 25 29 24 17 19 3150 7575 5250 7425 5325 7500 5250 7875 5250 54h
2496 25 29 24 17 19 3150 7575 5325 7425 5400 7575 5325 7950 5325 54h
