 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10812440 7667084 96 2184 0 0 0 0  0  0  0  0  0  489 1565  276  0  3 97
 0 0 0 10812232 7667000 92 2184 0 0 0 0  0  0  0  0  0  497 1570  280  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s2 -- --   in   sy   cs us sy id
 0 0 0 10812196 7666964 92 2187 0 0 0 0  0  0  0  0  0  496 1571  304  0  3 97
 0 0 0 10812436 7667076 98 2190 0 0 0 0  0  2  0  0  0  503 1570  308  0  3 97
 0 0 0 10812196 7666968 92 2187 0 0 0 0  0  7  0  0  0  509 1568  282  0  3 97
 0 0 0 10812436 7667056 92 2185 0 0 0 0  0  0  0  0  0  506 1570  270  0  3 97
 0 0 0 10812208 7667008 96 2185 0 0 0 0  0  0  0  0  0  481 1567  274  0  3 97
 0 0 0 10812408 7667028 92 2188 0 0 0 0  0  0  0  0  0  484 1573  279  0  3 97
