 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975732 6007112 136 1825 0 0 0 0  0  0  0  0  0  507 1491  284 25  3 72
 0 0 0 4975448 6006976 136 1825 0 0 0 0  0  0  0  0  0  503 1500  272 25  3 72
 0 0 0 4975708 6007092 84 1007 0 1 1  0  0  0  0  0  0  460 1092  243 25  2 73
 0 0 0 4975708 6007080 52 818 0 0  0  0  0  0  0  0  0  459  938  227 25  1 74
 0 0 0 4975452 6006972 136 1823 0 0 0 0  0  1  0  0  0  517 1487  289 25  3 72
 0 0 0 4975708 6007080 137 1827 0 0 0 0  0  0  0  0  0  519 1505  287 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975456 6006968 136 1825 0 0 0 0  0  0  0  0  0  510 1489  289 25  3 72
 0 0 0 4975424 6006940 136 1825 0 0 0 0  0  0  0  0  0  503 1502  291 25  3 72
 0 0 0 4975708 6007072 137 1823 0 1 1 0  0  0  0  0  0  509 1486  288 25  3 72
 0 0 0 4975424 6006940 136 1823 0 2 2 0  0  0  0  0  0  519 1499  294 25  3 72
 0 0 0 4975708 6007068 136 1824 0 0 0 0  0  4  0  0  0  529 1487  295 25  3 72
 0 0 0 4975452 6006960 136 1823 0 0 0 0  0  0  0  0  0  510 1501  287 25  3 72
 0 0 0 4975708 6007068 35 372 0 0  0  0  0  0  0  0  0  446  768  220 25  1 73
 0 0 0 4975668 6007064 101 1454 0 0 0 0  0  0  0  0  0  480 1263  257 25  2 73
 0 0 0 4975684 6007056 136 1825 0 0 0 0  0  0  0  0  0  503 1493  286 25  3 72
 0 0 0 4975400 6006908 137 1825 0 1 1 0  0  0  0  0  0  519 1500  287 25  3 72
 0 0 0 4975684 6007040 136 1824 0 0 0 0  0  1  0  0  0  532 1490  296 25  3 72
 0 0 0 4975580 6007016 136 1823 0 0 0 0  0  0  0  0  0  507 1500  289 25  3 72
 0 0 0 4975684 6007040 136 1824 0 0 0 0  0  0  0  0  0  507 1487  289 25  3 72
 0 0 0 4975432 6006928 136 1823 0 0 0 0  0  0  0  0  0  503 1499  294 25  3 72
 0 0 0 4975400 6006888 137 1824 0 1 1 0  0  0  0  0  0  505 1551  319 25  3 72
 0 0 0 4975684 6007028 136 1826 0 0 0 0  0  0  0  0  0  522 1502  292 25  3 72
 0 0 0 4975684 6007024 16 93 0  0  0  0  0  3  0  0  0  447  624  209 25  1 74
 0 0 0 4975400 6006888 120 1732 0 0 0 0  0  0  0  0  0  499 1408  279 25  2 72
 0 0 0 4975684 6007024 136 1822 0 0 0 0  0  0  0  0  0  502 1486  289 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975404 6006904 137 1828 0 0 0 0  0  0  0  0  0  509 1503  289 25  3 72
 0 0 0 4975660 6007000 136 1823 0 0 0 0  0  0  0  0  0  507 1487  286 25  3 72
 0 0 0 4975408 6006896 137 1824 0 1 1 0  0  0  0  0  0  514 1498  290 25  3 72
 0 0 0 4975376 6006864 136 1825 0 0 0 0  0  1  0  0  0  519 1488  294 25  3 72
 0 0 0 4975660 6006988 136 1823 0 0 0 0  0  0  0  0  0  514 1503  295 25  3 72
 0 0 0 4975360 6006836 146 1920 0 0 0 0  0  0  0  0  0  536 1666  333 25  3 72
 0 0 0 4975620 6006952 140 1854 0 0 0 0  0  0  0  0  0  539 1616  336 25  3 72
 0 0 0 4975620 6006952 16 93 0  1  1  0  0  0  0  0  0  456  666  252 25  0 75
 0 0 0 4975364 6006844 123 1759 0 0 0 0  0  1  0  0  0  533 1510  319 25  3 72
 0 0 0 4975236 6006752 136 1824 0 0 0 0  0  2  0  0  0  520 1491  297 25  3 72
 0 0 0 4975392 6006792 137 1824 0 0 0 0  0  0  0  0  0  521 1506  298 25  3 72
 0 0 0 4975084 6006644 136 1826 0 0 0 0  0  0  0  0  0  517 1494  297 25  3 72
 0 0 0 4975368 6006780 136 1823 0 0 0 0  0  0  0  0  0  519 1503  299 25  3 72
 0 0 0 4975180 6006724 136 1826 0 2 2 0  0  0  0  0  0  511 1495  297 25  3 72
 0 0 0 4975368 6006764 136 1823 0 0 0 0  0  1  0  0  0  528 1502  296 25  3 72
 0 0 0 4975116 6006656 136 1824 0 0 0 0  0  1  0  0  0  515 1491  289 25  3 72
 0 0 0 4975368 6006764 84 1007 0 0 0  0  0  0  0  0  0  489 1140  257 25  3 72
 0 0 0 4975084 6006624 52 818 0 0  0  0  0  0  0  0  0  464  897  231 25  1 74
 0 0 0 4975344 6006732 136 1824 0 0 0 0  0  1  0  0  0  506 1503  279 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975104 6006612 136 1825 0 0 0 0  0  0  0  0  0  520 1556  323 25  3 72
 0 0 0 4975340 6006724 137 1824 0 1 1 0  0  0  0  0  0  538 1515  299 25  3 72
 0 0 0 4975072 6006604 136 1825 0 0 0 0  0  1  0  0  0  521 1498  300 25  3 72
 0 0 0 4975320 6006704 136 1823 0 0 0 0  0  0  0  0  0  508 1506  296 25  3 72
 0 0 0 4975044 6006576 136 1825 0 0 0 0  0  0  0  0  0  511 1493  293 25  3 72
 0 0 0 4975012 6006536 136 1823 0 0 0 0  0  0  0  0  0  516 1501  297 25  3 72
 0 0 0 4975296 6006672 137 1826 0 1 1 0  0  0  0  0  0  503 1498  289 25  3 72
 0 0 0 4975184 6006664 84 1007 0 0 0  0  0  1  0  0  0  496 1106  251 25  2 73
 0 0 0 4975296 6006672 52 817 0 0  0  0  0  2  0  0  0  469  929  239 25  1 74
 0 0 0 4975296 6006672 136 1823 0 0 0 0  0  0  0  0  0  510 1505  295 25  3 72
 0 0 0 4975040 6006564 136 1824 0 0 0 0  0  0  0  0  0  513 1490  295 25  3 72
 0 0 0 4975312 6006684 136 1825 0 0 0 0  0  0  0  0  0  521 1506  305 25  3 72
 0 0 0 4975296 6006668 137 1824 0 1 1 0  0  0  0  0  0  518 1490  300 25  3 72
 0 0 0 4975012 6006532 136 1823 0 0 0 0  0  1  0  0  0  530 1502  294 25  3 72
 0 0 0 4975296 6006660 136 1824 0 0 0 0  0  2  0  0  0  517 1506  301 25  3 72
 0 0 0 4975088 6006596 136 1825 0 0 0 0  0  0  0  0  0  509 1506  288 25  3 72
 0 0 0 4975272 6006644 136 1825 0 0 0 0  0  0  0  0  0  513 1493  295 25  3 72
 0 0 0 4975020 6006528 35 370 0 1  1  0  0  0  0  0  0  444  784  224 25  1 74
 0 0 0 4975272 6006636 101 1455 0 0 0 0  0  0  0  0  0  479 1253  256 25  2 73
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4974988 6006500 136 1823 0 1 1 0  0  1  0  0  0  539 1503  297 25  3 72
 0 0 0 4975264 6006620 157 1983 0 2 2 0  0  1  0  0  0  544 1957  308 25  3 72
 0 0 0 4974968 6006468 136 1823 0 0 0 0  0  0  0  0  0  517 1505  295 25  3 72
 0 0 0 4975252 6006604 136 1824 0 0 0 0  0  0  0  0  0  509 1490  299 25  3 72
 0 0 0 4974996 6006496 136 1826 0 0 0 0  0  0  0  0  0  512 1504  298 25  3 72
 0 0 0 4975248 6006592 136 1823 0 0 0 0  0  0  0  0  0  515 1557  327 25  3 72
 0 0 0 4974996 6006484 137 1824 0 1 1 0  0  1  0  0  0  545 1505  294 25  3 72
 0 0 0 4974952 6006440 136 1823 0 0 0 0  0  1  0  0  0  526 1492  299 25  3 72
 0 0 0 4975204 6006556 16 94 0  0  0  0  0  0  0  0  0  429  645  213 25  1 74
 0 0 0 4975204 6006544 121 1732 0 0 0 0  0  0  0  0  0  515 1395  295 25  2 72
 0 0 0 4975156 6006540 136 1824 0 0 0 0  0  0  0  0  0  522 1503  296 25  3 72
 0 0 0 4975204 6006540 136 1826 0 0 0 0  0  0  0  0  0  513 1494  293 25  3 72
 0 0 0 4974948 6006432 136 1823 0 1 1 0  0  1  0  0  0  530 1501  295 25  3 72
 0 0 0 4975104 6006520 136 1823 0 0 0 0  0  1  0  0  0  524 1491  295 25  3 72
 0 0 0 4975204 6006532 136 1825 0 0 0 0  0  0  0  0  0  510 1507  296 25  3 72
 0 0 0 4974920 6006396 136 1823 0 0 0 0  0  0  0  0  0  513 1489  293 25  3 72
 0 0 0 4975204 6006532 136 1825 0 0 0 0  0  0  0  0  0  521 1505  297 25  3 72
 0 0 0 4974948 6006424 136 1824 0 0 0 0  0  0  0  0  0  521 1492  292 25  3 72
 0 0 0 4975204 6006532 15 93 0  1  1  0  0  0  0  0  0  448  598  210 25  0 75
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975180 6006512 121 1733 0 0 0 0  0  3  0  0  0  507 1441  281 25  3 72
 0 0 0 4974928 6006404 136 1825 0 0 0 0  0  0  0  0  0  519 1507  297 25  3 72
 0 0 0 4974896 6006364 136 1824 0 0 0 0  0  0  0  0  0  510 1492  297 25  3 72
 0 0 0 4975180 6006496 136 1825 0 0 0 0  0  0  0  0  0  527 1505  302 25  3 72
 0 0 0 4974896 6006360 136 1823 0 0 0 0  0  0  0  0  0  519 1492  296 25  3 72
 0 0 0 4975180 6006488 137 1827 0 1 1 0  0  1  0  0  0  539 1506  300 25  3 72
 0 0 0 4974924 6006380 136 1824 0 0 0 0  0  1  0  0  0  514 1493  296 25  3 72
 0 0 0 4975112 6006460 136 1823 0 0 0 0  0  0  0  0  0  514 1506  291 25  3 72
 0 0 0 4975180 6006484 84 1007 0 0 0  0  0  0  0  0  0  482 1125  254 25  3 72
 0 0 0 4975260 6006564 52 817 0 0  0  0  0  0  0  0  0  452  911  233 25  1 74
 0 0 0 4974976 6006428 136 1824 0 0 0 0  0  0  0  0  0  517 1556  329 25  3 72
 0 0 0 4975260 6006564 137 1825 0 1 1 0  0  1  0  0  0  544 1506  300 25  3 72
 0 0 0 4975080 6006512 136 1825 0 0 0 0  0  0  0  0  0  515 1495  292 25  3 72
 0 0 0 4975236 6006536 136 1825 0 0 0 0  0  0  0  0  0  515 1758  308 25  3 72
 0 0 0 4974984 6006420 136 1824 0 0 0 0  0  0  0  0  0  510 1493  279 25  3 72
 0 0 0 4975124 6006520 136 1825 0 0 0 0  0  0  0  0  0  508 1503  295 25  3 72
 0 0 0 4975236 6006528 136 1823 0 0 0 0  0  0  0  0  0  502 1494  286 25  3 72
 0 0 0 4974952 6006396 136 1825 0 1 1 0  0  0  0  0  0  540 1508  296 25  3 72
 0 0 0 4975236 6006528 84 1007 0 0 0  0  0  0  0  0  0  477 1085  258 25  2 73
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 4975236 6006528 52 817 0 0  0  0  0  0  0  0  0  463  956  244 25  1 74
 0 0 0 4974980 6006420 136 1825 0 0 0 0  0  0  0  0  0  518 1493  298 25  3 72
 0 0 0 4975236 6006528 136 1822 0 0 0 0  0  0  0  0  0  512 1500  298 25  3 72
 0 0 0 4974984 6006420 136 1825 0 0 0 0  0  0  0  0  0  512 1497  297 25  3 72
 0 0 0 4974928 6006376 136 1825 0 1 1 0  0  0  0  0  0  530 1515  295 25  3 72
 0 0 0 4975212 6006504 136 1823 0 0 0 0  0  2  0  0  0  519 1491  292 25  3 72
 0 0 0 4974928 6006356 136 1826 0 0 0 0  0  0  0  0  0  516 1511  291 25  3 72
