pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
445.002   2  tick         0 4986670196         0 
445.002   3  tick         0 4986692799         0 
445.002   0  tick 4986701239         0 4986701245 
450.002   1  tick 4986644684         0 4986644676 
450.002   0  tick 4986631157         0 4986631152 
450.002   2  tick         0 4986646230         0 
450.002   3  tick         0 4986671654         0 
455.002   1  tick 4986681869         0 4986681874 
455.002   3  tick         0 4986651303         0 
455.002   2  tick         0 4986700377         0 
455.002   0  tick 4986702585         0 4986702593 
460.002   0  tick 4986638792         0 4986638785 
460.002   1  tick 4986668345         0 4986668341 
460.002   2  tick         0 4986643407         0 
460.002   3  tick         0 4986688686         0 
465.002   1  tick 4986662554         0 4986662560 
465.002   0  tick 4986666952         0 4986666958 
465.002   2  tick         0 4986665353         0 
465.002   3  tick         0 4986673916         0 
470.002   3  tick         0 4986645106         0 
470.002   0  tick 4986689357         0 4986689354 
470.002   1  tick 4986693387         0 4986693387 
470.002   2  tick         0 4986741140         0 
475.002   0  tick 4986658822         0 4986658826 
475.002   3  tick         0 4986674968         0 
475.002   1  tick 4986664150         0 4986664152 
475.002   2  tick         0 4986630797         0 
480.002   1  tick 4986653074         0 4986653065 
480.002   0  tick 4986662762         0 4986662753 
480.002   2  tick         0 4986644766         0 
480.002   3  tick         0 4986689028         0 
485.002   0  tick 4986672913         0 4986672921 
485.002   3  tick         0 4986670457         0 
485.002   1  tick 4986711237         0 4986711244 
485.002   2  tick         0 4986840320         0 
490.002   1  tick 4986633501         0 4986633493 
490.002   0  tick 4986680461         0 4986680461 
490.002   3  tick         0 4986654245         0 
490.002   2  tick         0 4986527312         0 
495.002   1  tick 4986666762         0 4986666768 
495.002   0  tick 4986658426         0 4986658420 
495.002   2  tick         0 4986642851         0 
495.002   3  tick         0 4986690072         0 
500.002   3  tick         0 4986676063         0 
500.002   1  tick 4986712063         0 4986712058 
500.002   2  tick         0 4986704059         0 
500.002   0  tick 4986719616         0 4986719622 
505.002   1  tick 4986629649         0 4986629656 
505.002   0  tick 4986623345         0 4986623343 
505.002   2  tick         0 4986638027         0 
505.002   3  tick         0 4986672802         0 
510.002   1  tick 4986671248         0 4986671248 
510.002   0  tick 4986669398         0 4986669395 
510.002   2  tick         0 4986671357         0 
510.002   3  tick         0 4986663097         0 
515.002   0  tick 4986670329         0 4986670335 
515.002   1  tick 4986682068         0 4986682068 
515.002   2  tick         0 4986670649         0 
515.002   3  tick         0 4986669998         0 
520.002   1  tick 4986685932         0 4986685926 
520.002   2  tick         0 4986697825         0 
520.002   3  tick         0 4986671998         0 
520.002   0  tick 4986714971         0 4986714976 
525.002   1  tick 4986642656         0 4986642662 
525.002   0  tick 4986625484         0 4986625478 
525.002   2  tick         0 4986642890         0 
525.002   3  tick         0 4986666009         0 
530.002   3  tick         0 4986674286         0 
530.002   0  tick 4986706153         0 4986706152 
530.002   1  tick 4986715887         0 4986715881 
530.002   2  tick         0 4986718786         0 
535.002   1  tick 4986621746         0 4986621751 
535.002   0  tick 4986638465         0 4986638471 
535.002   2  tick         0 4986616978         0 
535.002   3  tick         0 4986671564         0 
540.002   1  tick 4986674881         0 4986674875 
540.002   0  tick 4986665777         0 4986665764 
540.002   2  tick         0 4986673172         0 
540.002   3  tick         0 4986666509         0 
545.002   1  tick 4986671400         0 4986671405 
545.002   3  tick         0 4986648428         0 
545.002   0  tick 4986692449         0 4986692457 
545.002   2  tick         0 4986694446         0 
550.002   1  tick 4986675846         0 4986675840 
550.002   0  tick 4986652585         0 4986652577 
550.002   3  tick         0 4986667322         0 
550.002   2  tick         0 4986671986         0 
555.002   1  tick 4986662760         0 4986662766 
555.002   0  tick 4986667513         0 4986667519 
555.002   2  tick         0 4986648807         0 
555.002   3  tick         0 4986697854         0 
560.002   1  tick 4986687903         0 4986687897 
560.002   3  tick         0 4986655410         0 
560.002   0  tick 4986688672         0 4986688676 
560.002   2  tick         0 4986700564         0 
565.002   1  tick 4986654441         0 4986654447 
565.002   0  tick 4986652427         0 4986652423 
565.002   3  tick         0 4986655628         0 
565.002   2  tick         0 4986658022         0 
570.002   1  tick 4986671691         0 4986671691 
570.002   0  tick 4986672976         0 4986672976 
570.002   2  tick         0 4986654168         0 
570.002   3  tick         0 4986700726         0 
575.002   0  tick 4986673765         0 4986673767 
575.002   2  tick         0 4986669376         0 
575.002   1  tick 4986682558         0 4986682558 
575.002   3  tick         0 4986667712         0 
580.002   2  tick         0 4986668330         0 
580.002   0  tick 4986671876         0 4986671878 
580.002   3  tick         0 4986672562         0 
580.002   1  tick 4987055135         0 4987055135 
585.002   1  tick 4986271707         0 4986271707 
585.002   0  tick 4986667951         0 4986667947 
585.002   2  tick         0 4986666485         0 
585.002   3  tick         0 4986668812         0 
590.002   1  tick 4986708802         0 4986708796 
590.002   3  tick         0 4986676510         0 
590.002   2  tick         0 4986708430         0 
590.002   0  tick 4986714015         0 4986714018 
595.002   1  tick 4986662671         0 4986662676 
595.002   2  tick         0 4986661450         0 
595.002   3  tick         0 4986665250         0 
595.002   0  tick 4986669184         0 4986669185 
600.002   1  tick 4986641635         0 4986641630 
