time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
740,433971064,302053456,43.3971064,30.2053456,45,56,39,31,37,28,16,39,31,31,43,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1623,1298.4,973.8,48.69,48.69,0,0
750,36377842,26987571,3.6377842,2.6987571,45,57,39,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1650,1320,990,49.5,49.5,0,0
760,16333190,9783947,1.633319,0.9783947,46,56,39,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1688,1350.4,1012.8,50.64,50.64,0,36.8
770,15111668,10916633,1.5111668,1.0916633,46,57,39,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1676,1340.8,1005.6,50.28,50.28,0,0
780,478332129,342008718,47.8332129,34.2008718,46,55,39,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1643,1314.4,985.8,49.29,49.29,0,0
790,14947485,11753724,1.4947485,1.1753724,41,57,39,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1675,1340,1005,50.25,50.25,0,103
800,14106733,10289611,1.4106733,1.0289611,41,58,39,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1643,1314.4,985.8,49.29,49.29,0,0
810,55371309,25811370,5.5371309,2.581137,43,56,39,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1633,1306.4,979.8,48.99,48.99,0,0
820,507501667,304703313,50.7501667,30.4703313,46,50,40,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1770,1416,1062,53.1,53.1,0,33.9
830,543777429,320141038,54.3777429,32.0141038,51,49,39,31,37,28,16,39,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1590,1272,954,47.7,47.7,0,0
840,382423054,233213136,38.2423054,23.3213136,48,50,39,31,37,28,15,39,31,32,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1568,1254.4,940.8,47.04,47.04,0,0
850,638353970,382207822,63.835397,38.2207822,48,49,39,31,37,28,15,39,31,32,42,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1753,1402.4,1051.8,52.59,52.59,0,37.8
860,578345417,344956133,57.8345417,34.4956133,51,49,39,31,37,28,15,39,31,32,42,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1594,1275.2,956.4,47.82,47.82,0,0
870,381840168,250363470,38.1840168,25.036347,51,48,39,31,37,28,15,39,31,32,42,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1561,1248.8,936.6,46.83,46.83,0,0
880,614520617,372420409,61.4520617,37.2420409,48,48,39,31,37,28,15,39,31,32,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1786,1428.8,1071.6,53.58,53.58,0,34.7
890,617600370,370243610,61.760037,37.024361,52,48,39,31,37,28,15,39,31,32,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1675,1340,1005,50.25,50.25,0,0
900,546471428,332107946,54.6471428,33.2107946,52,48,40,31,37,28,15,39,31,32,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1566,1252.8,939.6,46.98,46.98,0,0
910,122784448,83510078,12.2784448,8.3510078,52,48,40,31,37,28,15,39,30,32,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1612,1289.6,967.2,48.36,48.36,0,35
920,16064461,12241734,1.6064461,1.2241734,51,53,39,31,37,28,15,39,30,32,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1383,1106.4,829.8,41.49,41.49,0,0
930,14149617,10226725,1.4149617,1.0226725,48,56,39,31,37,28,15,39,31,32,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1609,1287.2,965.4,48.27,48.27,0,0
940,10066717,6730382,1.0066717,0.6730382,47,57,39,31,37,28,15,40,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1612,1289.6,967.2,48.36,48.36,0,70.8
950,4436801,3090931,0.4436801,0.3090931,45,56,39,31,37,28,15,40,31,32,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1799,1439.2,1079.4,53.97,53.97,0,0
960,548775867,346520772,54.8775867,34.6520772,46,54,39,31,37,28,15,40,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1604,1283.2,962.4,48.12,48.12,0,0
970,4593969,3136955,0.4593969,0.3136955,45,57,39,31,37,28,15,40,31,31,42,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1612,1289.6,967.2,48.36,48.36,0,118.5
980,29939130,20828969,2.993913,2.0828969,46,57,39,31,37,28,15,40,31,31,42,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1667,1333.6,1000.2,50.01,50.01,0,0
990,10673055,8934725,1.0673055,0.8934725,45,57,39,31,37,28,15,40,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1649,1319.2,989.4,49.47,49.47,0,0
1000,18034360,10994666,1.803436,1.0994666,46,56,39,31,37,28,15,40,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1665,1332,999,49.95,49.95,0,36.5
1010,9222117,5870243,0.9222117,0.5870243,45,57,39,31,37,28,15,40,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1618,1294.4,970.8,48.54,48.54,0,0
1020,1950870,1527358,0.195087,0.1527358,45,58,39,31,37,28,15,40,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1618,1294.4,970.8,48.54,48.54,0,0
1030,377608824,251858902,37.7608824,25.1858902,45,55,39,31,37,28,15,40,31,31,42,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1626,1300.8,975.6,48.78,48.78,0,36.7
1040,336176585,167778360,33.6176585,16.777836,50,53,39,31,37,28,15,40,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1675,1340,1005,50.25,50.25,0,0
1050,613975658,302872015,61.3975658,30.2872015,51,52,39,31,37,28,15,40,31,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1607,1285.6,964.2,48.21,48.21,0,0
1060,1334162239,612796021,133.4162239,61.2796021,48,52,39,31,37,28,15,40,30,31,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1662,1329.6,997.2,49.86,49.86,0,41.8
1070,891349707,429289383,89.1349707,42.9289383,52,51,39,31,37,28,15,40,30,32,42,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1635,1308,981,49.05,49.05,0,0
