Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
300,44,50,37,47,3567.2,3567.2,8662,8662,1543729,1543764,1543746.5,357570662,357568908,357569785,244127354,244113632,244120493,3515337,410103,57571558,14171236,228,115,1.89,171,136.8,68.4,1.54,357.57,244.12,35.15,4.1,575.72,141.71,0,0.2,0,0.8,0,0.8
305,44,50,37,47,3567.2,3567.2,8449,8662,1518585,1518583,1518584,309962375,309960001,309961188,212611320,212623990,212617655,1653235,446834,73842491,453113,228.1,114.9,1.85,171.08,136.86,68.43,1.52,309.96,212.62,16.53,4.47,738.42,4.53,0,0,0,0,0,0
310,44,50,37,47,3567.2,3645.6,8662,8662,1513863,1513865,1513864,356394118,356395797,356394957.5,240380130,240420693,240400411.5,2751129,1156076,806023,70984868,228.2,115,1.83,171.15,136.92,68.46,1.51,356.39,240.4,27.51,11.56,8.06,709.85,0,0.2,0,0.8,0,0.8
315,44,50,37,47,3567.2,3567.2,8662,8449,1522684,1522643,1522663.5,317015257,317188073,317101665,217959741,217802225,217880983,1603587,571637,43920115,31700033,228.2,115.1,1.82,171.15,136.92,68.46,1.52,317.1,217.88,16.04,5.72,439.2,317,0,0.8,0,5.3,0,5.3
320,44,50,37,47,3567.2,3567.2,8662,8449,1546717,1546764,1546740.5,316171696,315997245,316084470.5,219557290,219655523,219606406.5,1746314,429434,74260797,696628,228.1,115,1.82,171.08,136.86,68.43,1.55,316.08,219.61,17.46,4.29,742.61,6.97,0,0.6,0,1.8,0,1.8
325,44,50,36,47,3567.2,3567.2,8449,8449,1514634,1514593,1514613.5,370271681,370284063,370277872,250423336,250434031,250428683.5,4090784,365681,40127631,31119236,228.1,115.1,1.82,171.08,136.86,68.43,1.51,370.28,250.43,40.91,3.66,401.28,311.19,0,0,0,0,0,0
330,44,50,36,47,3567.2,3567.2,8662,8662,1536508,1536506,1536507,343425488,343432937,343429212.5,233168563,233151304,233159933.5,2506987,809880,64467798,8056646,228.2,115.1,1.82,171.15,136.92,68.46,1.54,343.43,233.16,25.07,8.1,644.68,80.57,0,0,0,0,0,0
335,44,50,36,47,3567.2,3567.2,8662,8662,1090841,1093096,1091968.5,294044379,293911164,293977771.5,201560055,201650568,201605311.5,953468,212850,75233911,307743,228.3,114.9,1.83,171.23,136.98,68.49,1.09,293.98,201.61,9.53,2.13,752.34,3.08,0,0.2,0,1.6,0,1.6
340,44,50,36,47,3488.8,3567.2,8662,8449,669244,666989,668116.5,278449501,278590951,278520226,191488680,191408753,191448716.5,238419,242838,500013,75647951,228.4,115.1,1.82,171.3,137.04,68.52,0.67,278.52,191.45,2.38,2.43,5,756.48,0,0.4,0,1.8,0,1.8
345,44,50,37,47,3567.2,3645.6,8662,8449,1535053,1535049,1535051,299136103,299310930,299223516.5,206251799,206149526,206200662.5,1063267,376120,75174137,981786,228.2,115,1.82,171.15,136.92,68.46,1.54,299.22,206.2,10.63,3.76,751.74,9.82,0,0.4,0,4.2,0,4.2
350,44,50,36,47,3488.8,3567.2,8662,8449,1566249,1566257,1566253,331801962,331599336,331700649,229399277,229552866,229476071.5,537407,2438256,72150454,676633,227.8,115.1,1.86,170.85,136.68,68.34,1.57,331.7,229.48,5.37,24.38,721.5,6.77,0,1,0,5,0,5
355,44,49,36,47,3567.2,3645.6,8662,8449,1532625,1532664,1532644.5,341327583,341326937,341327260,232235850,232209544,232222697,2741329,820202,71436758,410134,227.8,115.1,1.82,170.85,136.68,68.34,1.53,341.33,232.22,27.41,8.2,714.37,4.1,0,0,0,0,0,0
360,43,50,36,47,3488.8,3567.2,8662,8449,1535835,1535788,1535811.5,407141029,406957832,407049430.5,271443563,271317591,271380577,1738886,4318617,28007252,40954770,227.9,115,1.82,170.93,136.74,68.37,1.54,407.05,271.38,17.39,43.19,280.07,409.55,0,0,0,0,0,0
365,43,49,36,47,3567.2,3567.2,8449,8662,1543025,1543066,1543045.5,289552358,289739099,289645728.5,200967892,201076703,201022297.5,773984,386359,57626992,17696513,228,115.1,1.82,171,136.8,68.4,1.54,289.65,201.02,7.74,3.86,576.27,176.97,0,0,0,0,0,0
370,43,50,36,47,3567.2,3567.2,8449,8449,1533459,1535912,1534685.5,330520512,330517297,330518904.5,225039663,225099683,225069673,2318164,541043,45426843,28458809,228.1,115.1,1.83,171.08,136.86,68.43,1.53,330.52,225.07,23.18,5.41,454.27,284.59,0,0.6,0,4.2,0,4.2
375,44,49,36,47,3567.2,3645.6,8662,8662,1520131,1517680,1518905.5,314629792,314632770,314631281,216612221,216568365,216590293,1647316,431330,73779908,2050017,228.2,115,1.82,171.15,136.92,68.46,1.52,314.63,216.59,16.47,4.31,737.8,20.5,0,0.4,0,4,0,4
380,43,50,36,47,3488.8,3567.2,8449,8449,1523018,1522979,1522998.5,318634255,318651189,318642722,221205421,221173197,221189309,1914505,415935,28314270,46512077,228.2,115.1,1.82,171.15,136.92,68.46,1.52,318.64,221.19,19.15,4.16,283.14,465.12,0,0.6,0,2.8,0,2.8
385,44,49,36,47,3567.2,3567.2,8449,8662,802732,809786,806259,272791600,272571764,272681682,185839204,186293778,186066491,114187,50461,74403754,1185803,228.2,114.9,1.83,171.15,136.92,68.46,0.81,272.68,186.07,1.14,0.5,744.04,11.86,0,0,0,0,0,0
390,43,50,36,47,3567.2,3567.2,8662,8449,970790,963732,967261,315828069,316239750,316033909.5,216964526,216415943,216690234.5,1704343,397411,72350862,1345976,228.3,115,1.82,171.23,136.98,68.49,0.97,316.03,216.69,17.04,3.97,723.51,13.46,0,0,0,0,0,0
