Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missc3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
225,43,45,33.88888889,43,3567.2,3567.2,8638.333333,8449,1537051.778,1537039.667,1537045.722,16429856.44,16530810.67,16480333.61,20052149.89,20045449.44,20048799.72,422582.4444,319606.7778,404241.7778,438292.3333,206.9666667,115.0777778,1.666666667,155.2277778,124.18,62.09,1.535555556,16.48111111,20.05,4.224444444,3.194444444,4.042222222,4.381111111,0,1.377777778,0,5.944444444,0,6087.111111
230,43.11111111,45.11111111,33.88888889,43.22222222,3558.488889,3584.622222,8638.333333,8449,1538893.333,1538904.222,1538898.778,14317589.22,15041623.11,14679606.17,16697455.33,16705252.56,16701353.94,447206.8889,260785.5556,365958.8889,313419.6667,206.9777778,115.0777778,1.667777778,155.2344444,124.1866667,62.09333333,1.54,14.68,16.7,4.471111111,2.606666667,3.66,3.134444444,0,0.6,0,3.144444444,0,3219.911111
235,42.77777778,45.11111111,33.88888889,43.11111111,3567.2,3584.622222,8614.666667,8472.666667,1418990.556,1414710,1416850.278,10969195.22,11210676.33,11089935.78,12970312.67,12954968.11,12962640.39,314265.8889,183707,243496.5556,283680.5556,207.0666667,115.0555556,1.657777778,155.3033333,124.24,62.12,1.416666667,11.09,12.96222222,3.144444444,1.836666667,2.434444444,2.836666667,0,0.222222222,0,2.611111111,0,2673.777778
240,42.77777778,45.11111111,34,43,3558.488889,3584.622222,8614.666667,8449,347571.4444,351845.1111,349708.2778,9180329.778,8127761.222,8654045.5,10352104.78,10366846.56,10359475.72,209958.3333,122030.3333,223669.8889,347683.8889,207.1,115.1,1.657777778,155.3277778,124.26,62.13,0.35,8.654444444,10.36,2.098888889,1.218888889,2.237777778,3.476666667,0,0.555555556,0,2.833333333,0,2901.333333
245,42.77777778,45,33.88888889,42.88888889,3558.488889,3575.911111,8591,8496.333333,1542242.444,1542239.556,1542241,15920279.33,16247422.89,16083851.11,18752941,18749070.78,18751005.94,433687.3333,287785.8889,386038.8889,513606.1111,207.0666667,115.0777778,1.665555556,155.3022222,124.24,62.12,1.541111111,16.08333333,18.75111111,4.336666667,2.877777778,3.861111111,5.134444444,0,2.111111111,0,12.11111111,0,12401.77778
250,43,45.11111111,33.88888889,42.88888889,3558.488889,3584.622222,8567.333333,8425.333333,1535903.556,1535906.667,1535905.111,16185397,15843008.56,16014202.78,18182852.56,18185198.44,18184025.56,451373.6667,297495.3333,383090.3333,389064.7778,206.9666667,115.1111111,1.668888889,155.2266667,124.18,62.09,1.535555556,16.01555556,18.18444444,4.514444444,2.974444444,3.831111111,3.89,0,1,0,4.222222222,0,4323.555556
255,42.77777778,45.22222222,33.88888889,43.11111111,3558.488889,3593.333333,8662,8401.666667,1556804.111,1556808.778,1556806.444,15668078.22,15881673.56,15774875.94,19076027.78,19078436.11,19077231.94,467047.2222,306662.1111,366263.6667,449644.1111,207.0222222,115.1111111,1.663333333,155.27,124.2133333,62.10666667,1.556666667,15.77555556,19.07777778,4.67,3.067777778,3.66,4.496666667,0,1.444444444,0,8.955555556,0,9170.488889
260,42.77777778,44.88888889,33.88888889,43,3567.2,3575.911111,8614.666667,8472.666667,1541963.222,1541970.222,1541966.722,15112853.67,15211543.11,15162198.39,16588274.33,16590819.22,16589546.83,469564.8889,295063.3333,385206.2222,295513.7778,207.0555556,115.1222222,1.656666667,155.2944444,124.2333333,62.11666667,1.541111111,15.16222222,16.58888889,4.694444444,2.948888889,3.851111111,2.955555556,0,0.533333333,0,3.533333333,0,3618.133333
265,42.66666667,45,33.88888889,43.11111111,3558.488889,3575.911111,8614.666667,8449,1540357.556,1540341.222,1540349.389,15704824.56,15698708.22,15701766.39,18047135.89,18036614.22,18041875.06,441887.2222,260481.1111,388963.2222,380043.3333,207,115.1111111,1.664444444,155.2522222,124.2,62.1,1.538888889,15.70111111,18.04111111,4.42,2.605555556,3.89,3.801111111,0,0.4,0,3.022222222,0,3094.755556
270,43.44444444,45.11111111,34,43.11111111,3575.911111,3575.911111,8614.666667,8401.666667,1540651.778,1540650.556,1540651.167,16412419.11,16140565.33,16276492.22,19090389,19093762.22,19092075.61,426060.7778,246009,422451.2222,527500.2222,207.9555556,115.0777778,1.677777778,155.97,124.7733333,62.38666667,1.538888889,16.27666667,19.09222222,4.258888889,2.46,4.224444444,5.275555556,0,0.933333333,0,7.244444444,0,7418.311111
