time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
680,468124689,233085785,468.124689,233.085785,57,49,38,29,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1592,1273.6,955.2,47.76,47.76,0,0
690,456636466,225781478,456.636466,225.781478,57,48,38,29,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1736,1388.8,1041.6,52.08,52.08,0,0
700,472020038,236460734,472.020038,236.460734,53,49,38,29,36,27,16,38,28,36,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1595,1276,957,47.85,47.85,0,37.2
710,462326468,229137106,462.326468,229.137106,57,48,38,29,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1594,1275.2,956.4,47.82,47.82,0,0
720,470785755,236283629,470.785755,236.283629,57,48,38,29,36,27,16,38,28,36,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1607,1285.6,964.2,48.21,48.21,0,0
730,470714299,235243808,470.714299,235.243808,57,48,38,30,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1645,1316,987,49.35,49.35,0,37.5
740,461373786,228524012,461.373786,228.524012,57,48,38,29,36,27,16,38,28,36,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1594,1275.2,956.4,47.82,47.82,0,0
750,475444963,239937614,475.444963,239.937614,57,48,38,30,36,27,16,38,28,37,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1702,1361.6,1021.2,51.06,51.06,0,0
760,471645846,235437638,471.645846,235.437638,56,48,38,30,36,27,16,38,28,37,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1781,1424.8,1068.6,53.43,53.43,0,37.9
770,472171236,237365973,472.171236,237.365973,53,48,38,30,36,27,16,38,28,37,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1595,1276,957,47.85,47.85,0,0
780,465629531,231728732,465.629531,231.728732,52,48,38,30,36,27,16,38,29,37,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1773,1418.4,1063.8,53.19,53.19,0,0
790,460232096,227780496,460.232096,227.780496,57,47,38,30,36,27,16,38,28,37,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1600,1280,960,48,48,0,38.2
800,466472583,232404593,466.472583,232.404593,57,48,38,30,36,27,16,38,28,37,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1594,1275.2,956.4,47.82,47.82,0,0
810,475803386,239478999,475.803386,239.478999,57,47,38,30,36,27,17,38,28,37,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1590,1272,954,47.7,47.7,0,0
820,470950469,235490725,470.950469,235.490725,57,47,38,30,36,27,17,38,28,37,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1642,1313.6,985.2,49.26,49.26,0,38.6
830,470164794,233821157,470.164794,233.821157,53,48,38,29,36,27,17,38,28,37,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1638,1310.4,982.8,49.14,49.14,0,0
840,461887488,229190661,461.887488,229.190661,56,48,38,30,36,27,17,38,28,37,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1637,1309.6,982.2,49.11,49.11,0,0
850,469027126,233612997,469.027126,233.612997,57,47,38,30,36,27,17,38,28,37,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1595,1276,957,47.85,47.85,0,38.8
860,465485153,233063792,465.485153,233.063792,53,48,38,30,36,27,17,39,28,37,43,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1582,1265.6,949.2,47.46,47.46,0,0
870,471200419,236503207,471.200419,236.503207,52,48,38,30,36,27,17,39,29,37,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1766,1412.8,1059.6,52.98,52.98,0,0
880,458072388,226439763,458.072388,226.439763,56,47,38,30,36,28,17,39,29,37,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1582,1265.6,949.2,47.46,47.46,0,39.2
