,,,,,,,,,,,,,,,,,,Real Temp Difference,,,
scheduler,run,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat,,Average of coretemp_av,,cpu,,,,,,CPU,,,
ule,1,225,2,13.31,19.45,32.1,10.81,8.107,,,785,35.850,38.060,34.560,35.227,,785,-1.293,-2.040,0.670,-0.123
ule,1,225,3,3.742,5.302,34.1,7.191,5.393,,,790,35.850,38.270,34.560,35.060,,790,-1.293,-1.830,0.670,-0.290
ule,1,230,0,51.12,65.1,36.1,25.39,19.04,,,795,35.767,38.103,34.683,35.103,,795,-1.543,-1.957,0.917,-0.207
ule,1,230,1,120.2,167.6,41.1,54.8,41.1,,,800,35.770,38.313,34.560,35.143,,800,-1.540,-1.953,0.920,-0.123
ule,1,230,2,13.31,19.47,32.1,10.81,8.11,,,805,35.727,38.143,34.683,35.183,,805,-1.583,-2.417,1.123,-0.043
ule,1,230,3,3.742,5.309,34.23,7.213,5.41,,,810,35.813,38.520,34.437,35.103,,810,-1.580,-2.413,1.130,-0.080
ule,1,235,0,52.54,66.92,36.1,25.93,19.45,,,815,35.727,38.143,34.687,35.143,,815,-1.877,-2.833,1.503,0.000
ule,1,235,1,123.4,172,41.1,56.09,42.07,,,820,35.770,38.560,34.437,35.063,,820,-1.707,-2.790,1.337,-0.037
ule,1,235,2,13.32,19.49,32.1,10.82,8.114,,,825,35.977,38.600,34.310,35.017,,825,-1.500,-2.750,1.210,-0.083
ule,1,235,3,3.743,5.316,34.35,7.235,5.426,,,830,35.937,38.433,34.437,35.020,,830,-1.707,-2.750,1.380,-0.080
ule,1,240,0,54.02,68.81,36.1,26.49,19.87,,,835,35.977,38.600,34.310,34.977,,835,-1.540,-2.750,1.253,-0.123
ule,1,240,1,126.6,176.4,41.1,57.35,43.01,,,840,36.063,38.767,34.187,34.937,,840,-1.623,-2.293,1.170,-0.373
ule,1,240,2,13.32,19.51,32.1,10.82,8.117,,,845,36.143,39.183,33.937,34.853,,845,-1.540,-1.667,0.793,-0.497
ule,1,240,3,3.743,5.321,34.48,7.256,5.442,,,850,36.103,38.770,34.227,34.937,,850,-1.707,-1.790,0.960,-0.457
ule,1,245,0,55.39,70.55,36.1,27.01,20.26,,,855,36.183,39.227,33.977,34.893,,855,-1.460,-1.543,0.710,-0.500
ule,1,245,1,130,180.9,41.1,58.65,43.99,,,860,36.103,38.893,34.230,34.977,,860,-1.707,-1.793,1.003,-0.417
ule,1,245,2,13.33,19.54,32.1,10.83,8.121,,,865,35.937,38.853,34.353,35.020,,865,-1.873,-1.833,1.127,-0.373
ule,1,245,3,3.744,5.325,34.6,7.278,5.459,,,870,35.980,38.977,34.230,35.020,,870,-1.663,-1.917,0.963,-0.373
ule,1,250,0,56.44,71.84,36.1,27.4,20.55,,,875,35.980,38.937,34.230,35.020,,875,-1.663,-2.000,0.963,-0.373
ule,1,250,1,133.7,185.8,41.1,60.09,45.07,,,880,35.893,38.517,34.517,35.100,,880,-1.790,-2.627,1.207,-0.083
ule,1,250,2,13.33,19.57,32.1,10.83,8.125,,,885,35.853,38.060,34.810,35.187,,885,-1.707,-3.417,1.627,0.043
ule,1,250,3,3.744,5.327,34.73,7.299,5.475,,,890,35.897,38.437,34.520,35.103,,890,-1.537,-3.330,1.463,0.003
ule,1,255,0,57.39,72.94,36.1,27.74,20.8,,,895,35.853,37.977,34.683,35.353,,895,-1.580,-3.790,1.627,0.253
ule,1,255,1,137.5,190.8,41.1,61.56,46.17,,,900,35.897,38.103,34.603,35.313,,900,-1.370,-3.790,1.503,0.213
ule,1,255,2,13.34,19.59,32.1,10.84,8.129,,,905,35.853,38.103,34.643,35.313,,905,-1.373,-3.667,1.417,0.170
ule,1,255,3,3.744,5.33,34.85,7.321,5.491,,,910,35.893,38.103,34.683,35.310,,910,-1.333,-3.623,1.457,0.167
ule,1,260,0,58.3,73.97,36.1,28.06,21.05,,,915,35.810,37.727,34.850,35.520,,915,-1.583,-3.877,1.623,0.377
ule,1,260,1,141.3,195.9,41.1,63.06,47.29,,,920,35.767,37.893,34.683,35.477,,920,-1.460,-3.793,1.457,0.333
ule,1,260,2,13.34,19.62,32.1,10.84,8.133,,,925,35.767,37.977,34.683,35.437,,925,-1.460,-3.667,1.457,0.293
ule,1,260,3,3.745,5.332,34.98,7.342,5.507,,,930,35.730,37.770,34.853,35.477,,930,-1.497,-3.917,1.627,0.333
ule,1,265,0,59.37,75.23,36.1,28.45,21.34,,,935,35.687,37.770,34.977,35.310,,935,-1.707,-3.707,1.750,0.167
ule,1,265,1,145,200.8,41.1,64.48,48.36,,,940,35.730,37.727,34.977,35.310,,940,-1.663,-3.583,1.627,0.127
